title,url,category,content
RECAP | Everything that happened during Carney's visit to Washington to meet Trump,https://www.cbc.ca/news/politics/livestory/recap-everything-that-happened-during-carney-s-visit-to-washington-to-meet-trump-9.6749638,politics,
"South Korea pitches Canada on $20B-plus plan for subs, armoured vehicles",https://www.cbc.ca/news/politics/south-korea-canada-submarines-artillery-defence-1.7523180,politics,
Carney asked about his thoughts on Trump calling Canada-U.S. border 'artificial',https://www.cbc.ca/player/play/video/9.6750317,play,
Guess the next pope with Fantapapa,https://www.cbc.ca/player/play/video/9.6750331,play,
5 things to know about South Korea's military submarine pitch to Canada,https://www.cbc.ca/news/politics/south-korea-hyundai-heavy-industries-hanwha-ocean-submarine-pitch-1.7527252,politics,
"Alberta premier to chair sovereignty panel, put proposals to 2026 referendum",https://www.cbc.ca/news/canada/edmonton/alberta-premier-to-chair-sovereignty-panel-put-proposals-to-2026-referendum-1.7527154,canada,
Conservatives choose Andrew Scheer as interim Opposition leader,https://www.cbc.ca/news/politics/poilievre-conservative-caucus-meeting-1.7527562,politics,
Cracks in Ontario's economy were starting to show before Trump's tariffs,https://www.cbc.ca/news/canada/toronto/ontario-economy-unemployment-doug-ford-trump-tariffs-1.7524283,canada,
"Carney tells Trump Canada is not for sale, president praises PM as a 'very good person'",https://www.cbc.ca/news/politics/carney-trump-first-meeting-washington-1.7527102,politics,
"One week after Canada's election, Manitoba premier addresses decimation of federal NDP",https://www.cbc.ca/news/canada/manitoba/kinew-ndp-federal-decimation-response-1.7527346,canada,
Is Donald Trump right when he says the border is just an 'artificially drawn line'?,https://www.cbc.ca/news/canada/trump-canada-border-1.7528269,canada,
"New Liberal government should scrap EV tariffs on China to help trade, climate goals, say critics",https://www.cbc.ca/news/canada/china-trump-ev-electric-vehicle-tariffs-canada-carney-1.7526835,canada,
Conservatives signal they are willing to back Carney's Liberals on some legislation,https://www.cbc.ca/news/politics/conservative-support-some-liberal-legislation-1.7526468,politics,
Carney and Trump are only at the beginning of redefining the Canada-U.S. relationship,https://www.cbc.ca/news/politics/carney-trump-white-house-analysis-1.7528219,politics,
Amnesty International head calls Trump’s 51st state comments about Canada ‘unacceptable’,https://www.cbc.ca/player/play/video/9.6748504,play,
"Trump meeting 'extremely risky' for Carney, says ex-Canadian diplomat",https://www.cbc.ca/player/play/video/9.6748822,play,
Carney lands in Washington ahead of meeting with Trump,https://www.cbc.ca/player/play/video/9.6749063,play,
Trump calls CUSMA 'a good deal for everybody',https://www.cbc.ca/player/play/video/9.6750061,play,
Conservative Damien Kurek says he'll step aside for Poilievre — but by law he has to wait,https://www.cbc.ca/news/politics/damien-kurek-poilievre-byelection-1.7526895,politics,
Carney arrives at White House for meeting with Trump,https://www.cbc.ca/player/play/video/9.6749930,play,
Poilievre speaks to reporters for the first time since election seat loss,https://www.cbc.ca/player/play/video/9.6749647,play,
Carney mouths 'never' several times responding to Trump's 51st state idea,https://www.cbc.ca/player/play/video/9.6750172,play,
Carney says he ‘pressed the case’ for tariffs to be lifted in meeting with Trump,https://www.cbc.ca/player/play/video/9.6750346,play,
"Canada won’t ever be for sale, Carney tells Trump at White House",https://www.cbc.ca/player/play/video/9.6750050,play,
Carney arrives in Washington for high-stakes Trump meeting,https://www.cbc.ca/player/play/video/9.6749360,play,
Can Carney avoid a Canada-U.S. trade war with Trump? | About That,https://www.cbc.ca/player/play/video/9.6749289,play,
What went down in Carney and Trump's Oval Office meeting,https://www.cbc.ca/player/play/video/9.6750156,play,
"Grand Theft Auto VI delayed until 2026, extending wait for highly anticipated game",https://www.cbc.ca/news/entertainment/gta-vi-release-delayed-1.7525051,entertainment,
Trump says U.S. will be friends with Canada ‘regardless of anything’,https://www.cbc.ca/player/play/video/9.6750169,play,
Rust opens in theatres more than three years after on-set shooting of cinematographer,https://www.cbc.ca/news/entertainment/rust-baldwin-theatrical-release-1.7525545,entertainment,
Films with Manitoba connections at Hot Docs range from surreal animation to history of 2SLGBTQ+ rights,https://www.cbc.ca/news/canada/manitoba/winnipeg-hot-docs-film-festival-1.7524057,canada,
Piggy reunion show to steal Haligonians' hearts all over again,https://www.cbc.ca/news/canada/nova-scotia/piggy-band-halifax-reunion-show-1.7520474,canada,
"Met Gala celebrates Black menswear and dandyism, includes Rihanna pregnancy surprise",https://www.cbc.ca/news/entertainment/met-gala-2025-1.7527132,entertainment,
The 2025 Met Gala makes a serious fashion statement with a theme exploring Black style,https://www.cbc.ca/news/entertainment/met-gala-black-dandyism-theme-1.7522140,entertainment,
Novelist Percival Everett and playwright Branden Jacobs-Jenkins among Pulitzer winners in the arts,https://www.cbc.ca/news/entertainment/james-purpose-pulitzer-prize-1.7526988,entertainment,
"Russell Brand given bail after London court appearance for rape, sexual assault charges",https://www.cbc.ca/news/entertainment/russell-brand-court-rape-1.7524728,entertainment,
Brazil police foil bomb plot targeting Lady Gaga concert in Rio with over 2M attendees,https://www.cbc.ca/news/world/brazil-lady-gaga-bomb-plot-1.7526180,world,
A terrifying childhood encounter forever changed Jason Eisener's filmmaking career,https://www.cbc.ca/news/canada/nova-scotia/jason-eisener-dark-side-of-the-ring-1.7525836,canada,
Scheer takes over parliamentary leadership duties for Conservative Party,https://www.cbc.ca/player/play/video/9.6750484,play,
Sean (Diddy) Combs sex trafficking trial begins with jury selection,https://www.cbc.ca/news/entertainment/sean-combs-jury-selection-1.7526511,entertainment,
Carney says he asked Trump to stop calling Canada the 51st state,https://www.cbc.ca/player/play/video/9.6750343,play,
'Don't shut up': Canadian auto sector's strategy to fight Trump tariffs,https://www.cbc.ca/news/canada/windsor/trump-tariffs-auto-canada-parts-media-strategy-us-change-1.7523389,canada,
"Bryan Adams to help kick off Departure Festival, a reimagined Canadian Music Week",https://www.cbc.ca/news/canada/toronto/departure-festival-bryan-adams-1.7527675,canada,
Must-see red carpet looks from the 2025 Met Gala,https://www.cbc.ca/life/style/met-gala-red-carpet-fashion-2025-1.7527089,style,
"Canadian Tire is bidding on Hudson's Bay assets, according to sources",https://www.cbc.ca/news/business/canadian-tire-hbc-bid-1.7523683,business,
GameStop Canada to be rebranded EB Games after acquisition by Quebec toymaker,https://www.cbc.ca/news/business/gamestop-canada-eb-games-acquisition-1.7527431,business,
Tesla board chair denies reports company was looking to replace Elon Musk,https://www.cbc.ca/news/business/tesla-musk-replacement-response-1.7523534,business,
CUSMA-compliant auto parts won't be hit with tariffs,https://www.cbc.ca/news/world/us-cbp-cusma-auto-parts-tariffs-1.7524359,world,
Canada Post workers could strike again soon. Here's why,https://www.cbc.ca/news/business/canada-post-possible-strike-again-1.7524833,business,
"Hudson's Bay backtracks on cutting workers' commission pay, but still won't offer severance",https://www.cbc.ca/news/business/hudson-s-bay-commission-1.7526339,business,
Aritzia plans to move some of its production away from China amid tariff threats,https://www.cbc.ca/news/business/aritzia-production-china-1.7524753,business,
"One year after the Trans Mountain Pipeline expansion, why isn't it full?",https://www.cbc.ca/news/canada/calgary/one-year-after-the-trans-mountain-pipeline-expansion-why-isn-t-it-full-1.7525284,canada,
"Air Canada took couple to court rather than pay $2K compensation. A year later, it gave in",https://www.cbc.ca/news/business/air-canada-court-compensation-1.7524311,business,
Are U.S. ports ‘ghost towns’ thanks to Trump’s tariffs?,https://www.cbc.ca/player/play/video/9.6745337,play,
"GM to lay off 750 workers at Oshawa plant, citing U.S. tariffs: union president",https://www.cbc.ca/news/canada/toronto/oshawa-general-motors-plant-cutting-jobs-union-says-1.7524665,canada,
